block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_3-2-2,FX2,1,0,Garden City Centre,3470,3_merged_67230,10360_merged_80077
b_1-1-41,BLUE_merged_67207,1,1,St. Norbert,3393,1_merged_67229,393
b_1-1-41,BLUE_merged_67207,1,0,Unicity Shopping Centre,3392,1_merged_67229,392
b_2-1-10,BLUE_merged_67207,1,0,Unicity Shopping Centre,3396,2_merged_67231,7203_merged_80084
b_3-6-1,F6,1,0,Templeton & Salter,3450,3_merged_67230,10787_merged_80569
b_1-16-6,D16,1,0,Polo Park,3433,1_merged_67229,3684_merged_75947
b_1-1-3,BLUE_merged_67207,1,1,St. Norbert,3393,1_merged_67229,23_merged_80943
a_2-47-7,47,1,1,University of Manitoba,3090,2_merged_67228,10255_merged_68929
b_1-48-3,48_merged_67223,1,0,Redonda & Pandora,3261,1_merged_67229,4653_merged_79743
b_1-144-2,444,1,1,Kildonan Place Hub,3310,1_merged_67229,5643_merged_80772
a_1-77-15,77,1,0,Polo Park,1446,1_merged_67226,5533_merged_69389
a_1-45-4,45,1,0,Kildonan Place,1310,1_merged_67226,3744
a_1-45-4,45,1,1,Downtown,1311,1_merged_67226,3745
a_1-45-4,45,1,0,Kildonan Place,1310,1_merged_67226,3742
a_2-11-7,11,1,0,Polo Park,2920,2_merged_67228,8190_merged_70694
a_3-11-4,11,1,1,North Kildonan via Rothesay,920,3_merged_67227,12193_merged_75165
b_1-74-2,74_merged_67225,1,1,University of Manitoba,3267,1_merged_67229,4827_merged_80982
a_1-19-4,19,1,1,Autumnwood,3063,1_merged_67226,1718_merged_71317
a_1-16-13,16,1,1,Island Lakes via Southdale Centre,1011,1_merged_67226,1042_merged_70729
a_2-33-1,33,1,0,Maples via Jefferson,1928,2_merged_67228,9748_merged_71415
b_1-141-2,641_merged_67216,1,1,Commerce Loop,3332,1_merged_67229,5533_merged_77776
a_1-15-18,15,1,0,Airport via Flight Road,980,1_merged_67226,939_merged_67848
b_2-7-2,F7,1,0,Broadway & Portage,3454,2_merged_67231,7982_merged_77873
a_1-22-5,22_merged_67191,1,0,Westwood,1204,1_merged_67226,2321_merged_74876
a_2-20-3,20,1,0,Watt & Leighton,1178,2_merged_67228,9172_merged_67984
a_1-18-23,18,1,1,Tuxedo,1107,1_merged_67226,1626_merged_69361
b_2-8-9,F8,1,0,Downtown,3458,2_merged_67231,8191_merged_79082
b_2-37-1,37,1,1,Waterford Green,3497,2_merged_67231,9286_merged_83024
b_1-1-62,BLUE_merged_67207,1,1,St. Norbert,3402,1_merged_67229,555_merged_77760
a_1-130-4,330_merged_67197,1,1,Garden City Centre,3150,1_merged_67226,6988_merged_69806
a_3-11-6,11,1,1,North Kildonan via Donwood,916,3_merged_67227,12227_merged_68544
a_2-130-1,330_merged_67197,1,0,Riverbend and Main,3149,2_merged_67228,11385_merged_69286
a_1-171-2,671_merged_67187,1,1,University of Manitoba,3114,1_merged_67226,7469_merged_71309
b_1-171-1,671_merged_67210,1,0,University of Manitoba,3521,1_merged_67229,6329_merged_81498
a_1-47-16,47,1,0,Transcona via Regent,3089,1_merged_67226,4050_merged_72747
a_2-74-2,74_merged_67202,1,0,University of Manitoba,3094,2_merged_67228,10762_merged_67584
b_6-4-56,FX4,1,1,Polo Park,3554,6,15709
b_1-188-1,888,1,1,Norwood,3385,1_merged_67229,6811
b_6-4-56,FX4,1,0,Downtown,3551,6,15701
b_1-188-1,888,1,0,Whittier Park,3386,1_merged_67229,6812
a_1-100-33,BLUE_merged_67184,1,0,University of Manitoba,3118,1_merged_67226,6815
b_3-22-1,22_merged_67214,1,0,Polo Park,3235,3_merged_67230,11821_merged_80253
b_6-4-56,FX4,1,1,Polo Park,3554,6,15706
a_1-100-33,BLUE_merged_67184,1,1,Downtown,3119,1_merged_67226,6816
b_2-91-1,91_merged_67222,1,1,St. Norbert,3277,2_merged_67231,9755
b_2-91-1,91_merged_67222,1,0,Baylor & Killarney,3278,2_merged_67231,9754
a_2-100-8,BLUE_merged_67184,1,0,University of Manitoba,3118,2_merged_67228,11313_merged_69216
a_1-100-2,BLUE_merged_67184,1,0,St. Norbert,2449,1_merged_67226,6390_merged_70184
a_1-85-3,85,1,1,Henderson & Whellams,1499,1_merged_67226,5904_merged_74425
b_6-16-51,D16,1,1,RRC Polytech,3430,6,16700
a_1-20-4,20,1,0,Watt & Leighton,1178,1_merged_67226,1940_merged_74032
b_3-15-3,D15,1,1,Unicity,3533,3_merged_67230,11543_merged_75620
a_1-44-8,33,1,1,Downtown,1930,1_merged_67226,3622_merged_68991
b_1-91-1,91_merged_67222,1,1,St. Norbert,3277,1_merged_67229,4946_merged_78852
a_1-10-4,10,1,1,Wolseley-Provencher via Provencher,871,1_merged_67226,133_merged_75210
a_1-21-21,28_merged_67183,1,1,City Hall,1231,1_merged_67226,2184_merged_67643
b_2-1-7,BLUE_merged_67207,1,1,St. Norbert,3393,2_merged_67231,7148_merged_76278
b_1-9-4,F9,1,0,Kildonan Place,3465,1_merged_67229,2519_merged_75949
b_2-16-4,D16,1,0,Polo Park,3433,2_merged_67231,8867_merged_76106
a_1-15-16,15,1,0,Airport via Flight Road,980,1_merged_67226,923_merged_72195
b_1-4-25,FX4,1,0,Raleigh & Knowles,3548,1_merged_67229,1498_merged_82432
b_1-146-1,446,1,1,Whellams Lane,3313,1_merged_67229,5731_merged_82958
a_1-100-3,BLUE_merged_67184,1,1,Downtown,3119,1_merged_67226,6397_merged_70187
a_1-142-1,642_merged_67194,1,1,Seel Station via Lindenwoods East,2412,1_merged_67226,7201_merged_71699
b_1-150-2,649_merged_67218,1,1,Fort Whyte Alive,3335,1_merged_67229,5868_merged_76019
a_2-18-6,18,1,1,Assiniboine Park,1127,2_merged_67228,8925_merged_68475
a_1-19-14,19,1,1,Autumnwood,3070,1_merged_67226,1820_merged_74295
b_6-1-58,BLUE_merged_67207,1,1,St. Norbert,3393,6,15160
b_1-15-15,D15,1,1,Unicity,3425,1_merged_67229,3535_merged_77754
a_3-15-2,15,1,0,Airport via Wellington,971,3_merged_67227,12495_merged_72423
b_2-22-2,22_merged_67214,1,1,Unicity,3233,2_merged_67231,9128_merged_80994
a_1-85-3,85,1,1,Henderson & Whellams,1499,1_merged_67226,5898_merged_73194
b_1-9-10,F9,1,0,Kildonan Place,3465,1_merged_67229,2578_merged_76809
a_1-44-9,44,1,1,Broadway via London,1301,1_merged_67226,3642_merged_68156
a_2-11-4,11,1,1,North Kildonan via Donwood,890,2_merged_67228,8123_merged_73026
b_2-2-5,FX2,1,1,St. Vital Centre,3469,2_merged_67231,7366_merged_78455
a_2-100-3,BLUE_merged_67184,1,1,Downtown,3119,2_merged_67228,11196_merged_68643
b_1-7-5,F7,1,1,Creek Bend,3455,1_merged_67229,2057_merged_77863
b_6-70-51,70,1,0,Polo Park,3263,6,17255
b_6-70-51,70,1,1,Unicity,3262,6,17256
b_2-15-3,D15,1,1,Unicity,3533,2_merged_67231,8745_merged_82815
a_1-38-5,38_merged_67190,1,1,The Forks,1279,1_merged_67226,3367_merged_69078
a_1-71-1,71,1,0,Templeton via Sinclair,1423,1_merged_67226,5040_merged_71849
a_2-24-3,24,1,0,Unicity,2733,2_merged_67228,9525_merged_67516
b_1-156-3,556,1,0,Sage Creek,3321,1_merged_67229,6045_merged_83132
b_2-5-4,F5,1,0,Garden City Centre,3444,2_merged_67231,7770_merged_76487
b_1-158-3,558,1,0,East Mint,3328,1_merged_67229,6182_merged_76056
a_2-172-2,672_merged_67188,1,0,Prairie Pointe,3117,2_merged_67228,11867_merged_74061
b_2-10-4,D10,1,1,Waterford Green,3406,2_merged_67231,8351_merged_77077
a_1-55-5,55,1,0,St. Vital Centre via Dakota,1368,1_merged_67226,4287_merged_71603
b_1-37-2,39,1,0,Cathedral & Main,3252,1_merged_67229,4322_merged_83505
b_1-179-4,679,1,1,University of Manitoba,3358,1_merged_67229,6623_merged_79413
b_2-16-2,D16,1,1,RRC Polytech,3430,2_merged_67231,8822_merged_83926
a_1-79-4,79,1,1,Polo Park via Kenaston,1474,1_merged_67226,5767_merged_70687
a_1-10-3,10,1,1,Wolseley via Tache,869,1_merged_67226,87_merged_75249
b_1-8-18,F8,1,1,University of Manitoba,3461,1_merged_67229,2410_merged_81489
b_1-150-1,650_merged_67221,1,1,Fort Whyte Alive,3338,1_merged_67229,5841_merged_75752
b_1-185-3,885,1,0,Unicity,3379,1_merged_67229,6779
a_1-100-27,60,1,0,University of Manitoba,3091,1_merged_67226,6775
a_1-100-27,60,1,0,University of Manitoba,3091,1_merged_67226,6777
a_1-100-27,60,1,1,Downtown,3092,1_merged_67226,6772
a_1-100-27,60,1,0,University of Manitoba,3091,1_merged_67226,6773
a_1-11-19,21,1,0,Grace Hospital,2931,1_merged_67226,421_merged_68290
b_1-16-2,D16,1,1,RRC Polytech,3430,1_merged_67229,3598_merged_83094
a_1-16-13,16,1,0,Tyndall Park via Manitoba,1010,1_merged_67226,1041_merged_74808
a_1-21-32,22_merged_67191,1,0,Westwood,1204,1_merged_67226,2252_merged_69168
b_2-91-1,91_merged_67222,1,1,St. Norbert,3277,2_merged_67231,9757_merged_75820
a_1-100-10,BLUE_merged_67184,1,0,University of Manitoba,3118,1_merged_67226,6506_merged_74083
a_1-60-11,60,1,0,University of Manitoba,3091,1_merged_67226,4700_merged_75465
b_1-134-1,334_merged_67219,1,1,Waterford Green,3299,1_merged_67229,5336_merged_79660
a_1-38-5,38_merged_67190,1,1,The Forks,1279,1_merged_67226,3363_merged_69081
b_2-12-1,D12,1,0,The Forks,3416,2_merged_67231,8492_merged_79855
b_1-152-2,552,1,0,Avalon Loop,3316,1_merged_67229,5982_merged_75630
b_1-5-8,F5,1,0,Garden City Centre,3444,1_merged_67229,1679
b_1-164-1,664,1,1,Outlet Mall,3342,1_merged_67229,6274_merged_76695
b_3-8-1,F8,1,0,Glenway,3460,3_merged_67230,10974_merged_77839
b_1-74-6,74_merged_67225,1,1,University of Manitoba,3267,1_merged_67229,4867_merged_77488
a_1-172-2,672_merged_67188,1,0,Prairie Pointe,3117,1_merged_67226,7519_merged_73471
b_1-1-13,BLUE_merged_67207,1,1,St. Norbert,3393,1_merged_67229,125_merged_79457
b_2-6-3,F6,1,1,South St. Vital,3449,2_merged_67231,7860_merged_77703
a_2-11-5,11,1,0,Polo Park,2920,2_merged_67228,8146_merged_73860
a_1-21-12,21,1,0,Westwood,2928,1_merged_67226,2075_merged_69195
a_2-55-4,55,1,1,University of Winnipeg via Meadowood,1366,2_merged_67228,10370_merged_70245
b_1-16-4,D16,1,1,RRC Polytech,3430,1_merged_67229,3636_merged_81459
a_1-149-2,649_merged_67195,1,0,Fort Whyte Alive,3156,1_merged_67226,7257_merged_75231
