stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
40876,40876,Northbound Edmund Gale at Chadwick,49.89893754934701,-96.9631444035794,https://winnipegtransit.com/stops/40876
40877,40877,Southbound Edmund Gale at Chadwick,49.89842757935436,-96.96278988947184,https://winnipegtransit.com/stops/40877
40880,40880,Westbound Whellams at Whellams Loop,49.94889716912712,-97.09364927993822,https://winnipegtransit.com/stops/40880
40881,40881,Eastbound Concordia at Peguis,49.9139218567442,-97.04761149564291,https://winnipegtransit.com/stops/40881
40882,40882,Westbound Concordia at Peguis,49.91386644629778,-97.04805949138988,https://winnipegtransit.com/stops/40882
40883,40883,Westbound Concordia at Whittington,49.9181719233817,-97.0404185057128,https://winnipegtransit.com/stops/40883
40884,40884,Eastbound Concordia at Whittington,49.917867243151484,-97.0404865829429,https://winnipegtransit.com/stops/40884
40887,40887,Eastbound Concordia at Pinetop,49.91504766019828,-97.04503071440465,https://winnipegtransit.com/stops/40887
40888,40888,Westbound Concordia at Pinetop,49.91507269030417,-97.04544761055217,https://winnipegtransit.com/stops/40888
40889,40889,Northbound Peguis at Regent,49.89745519113732,-97.05315007814184,https://winnipegtransit.com/stops/40889
40890,40890,Northbound Peguis at Cal Gardner,49.90069213999636,-97.05040166468727,https://winnipegtransit.com/stops/40890
40891,40891,Northbound Peguis at Ravelston,49.904446621232985,-97.04740914554817,https://winnipegtransit.com/stops/40891
40893,40893,Southbound Peguis at Prairie Crocus,49.907998905434006,-97.04736318926537,https://winnipegtransit.com/stops/40893
40894,40894,Southbound Peguis at Almey,49.900156935347816,-97.05120309425563,https://winnipegtransit.com/stops/40894
40895,40895,Southbound Peguis at Regent,49.89746057409058,-97.05347014094897,https://winnipegtransit.com/stops/40895
40896,40896,Northbound Peguis at Prairie Crocus North,49.91150412932823,-97.04719375624622,https://winnipegtransit.com/stops/40896
40897,40897,Southbound Peguis at Prairie Crocus North,49.91117482536758,-97.04740206624761,https://winnipegtransit.com/stops/40897
40900,40900,Eastbound Springfield at Springfield Loop,49.931503962204275,-97.05062167103704,https://winnipegtransit.com/stops/40900
40901,40901,Southbound De Vries at Springfield,49.931651325084275,-97.04495808977835,https://winnipegtransit.com/stops/40901
40902,40902,Northbound De Vries at Springfield,49.93164779742427,-97.04474920657314,https://winnipegtransit.com/stops/40902
40903,40903,Southbound Peguis at El Tassi,49.90218775287386,-97.04947792384706,https://winnipegtransit.com/stops/40903
40904,40904,Northbound Peguis at Ivybridge,49.90271630185055,-97.04881597642212,https://winnipegtransit.com/stops/40904
40908,40908,Westbound Transcona at Plessis,49.90084782958396,-97.02667908391997,https://winnipegtransit.com/stops/40908
40909,40909,Westbound Transcona at Bienvenu,49.90030410028047,-97.02908262420858,https://winnipegtransit.com/stops/40909
40910,40910,Westbound Transcona at Veteran's Way,49.903296263001096,-97.04320789433352,https://winnipegtransit.com/stops/40910
40911,40911,Eastbound Transcona at Peguis,49.90434334662174,-97.04661946607564,https://winnipegtransit.com/stops/40911
40912,40912,Eastbound Transcona at Chelston,49.902981461771745,-97.04267748739832,https://winnipegtransit.com/stops/40912
40913,40913,Eastbound Transcona at Bienvenu,49.900119125222616,-97.02931297835387,https://winnipegtransit.com/stops/40913
40914,40914,Eastbound Transcona at Plessis,49.90072955079405,-97.02660035302729,https://winnipegtransit.com/stops/40914
41002,41002,Westbound Munroe at Panet,49.90751951452554,-97.06703508086638,https://winnipegtransit.com/stops/41002
41003,41003,Eastbound Edison at Henderson,49.94114746150858,-97.0889794366075,https://winnipegtransit.com/stops/41003
41004,41004,Northbound Plessis at Pandora,49.89384280539874,-97.02522433223109,https://winnipegtransit.com/stops/41004
41005,41005,Southbound Ravenhurst at John Duncan,49.89824492538371,-96.96928688892629,https://winnipegtransit.com/stops/41005
41006,41006,Southbound Ravenhurst at Merkel Manza,49.89139286813876,-96.96839102871435,https://winnipegtransit.com/stops/41006
41007,41007,Northbound Ravenhurst at Renshaw,49.88986745135628,-96.9680930851844,https://winnipegtransit.com/stops/41007
41008,41008,Northbound Ravenhurst at Edmund Gale,49.89542535701556,-96.96854193193494,https://winnipegtransit.com/stops/41008
41009,41009,Northbound Ravenhurst at John Duncan,49.89827453049174,-96.96892358151784,https://winnipegtransit.com/stops/41009
